TR:TKD:CellLine,TR:FLT3i,TR:TNF,TR:IGF1R,TR:MAPK14i,TR:JNKi,TR:PI3Ki,TR:MTORi,TR:MEK1_2i,TR:GSK3Bi,TR:GSK3Ai,DA:CREB1,DA:JNK,DA:MAPK14,DA:ERK1_2,DA:STAT3,DA:STAT5A,DA:GSK3B,DA:IGF1R,DA:MTOR,DA:RPS6KB1,DA:PTEN,DA:GSK3A,DA:TSC2,DA:RPS6,DV:CREB1,DV:JNK,DV:MAPK14,DV:ERK1_2,DV:STAT3,DV:STAT5A,DV:GSK3B,DV:IGF1R,DV:MTOR,DV:RPS6KB1,DV:PTEN,DV:GSK3A,DV:TSC2,DV:RPS6
1,1,1,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.968160861,0.874858081,0.999,0.013013404,0.419678573,0.0022792,0.937798041,0.979338981,0.007617491,0.055203558,0.001,0.042210766,0.810796574,0.04727843
1,1,0,1,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.002405109,0.005144985,0.005907369,0.004855192,0.016872309,0.001226712,0.998725865,0.040052173,0.000736456,0.005316715,0.390999495,0.981647168,0.953733464,0.008480133
1,1,1,0,1,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.002793954,0.999,0.875803752,0.04726272,0.627597469,0.00377573,0.998106426,0.183612371,0.012662914,0.009289066,0.00962491,0.969591164,0.677917059,0.012515929
1,1,1,0,0,1,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.999,0.382085614,0.998432805,0.01088556,0.011804186,0.001323787,0.995043212,0.973305278,0.001544778,0.065005514,0.500063424,0.214765321,0.999596507,0.01939371
1,1,0,1,0,0,1,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.011987352,0.008187444,0.158358251,0.012551737,0.029219259,0.003953295,0.999387684,0.89435835,0.001715743,0.021645296,0.014913065,0.373868572,0.982666356,0.024349657
1,1,0,1,0,0,0,1,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.007049602,0.006983173,0.001330766,0.002437209,0.00417769,0.00079649,0.999353629,0.012428415,0.001412389,0.002024753,0.209438044,0.998919029,0.987075291,0.003544624
1,1,0,1,0,0,0,0,1,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.000721541,0.00261156,0.00523294,0.000969454,0.006330294,0.000569392,0.999369768,0.006707985,0.000851427,0.00105813,0.019680304,0.998214116,0.984669934,0.003425276
1,0,1,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.994647045,0.229995132,0.949843785,0.526944326,0.998913777,0.998353267,0.001,0.861113855,0.999,0.98890293,0.933301953,0.100947193,0.006296333,0.999
1,0,0,1,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.953776661,0.00313242,0.381704422,0.517103055,0.997962359,0.999,0.001266726,0.995703836,0.997299948,0.993137545,0.020686588,0.01586023,0.008198597,0.994268752
1,0,1,0,1,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.337747675,0.996269918,0.493584871,0.999,0.999,0.99347412,0.005033427,0.999,0.984924765,0.999,0.012761388,0.001,0.001,0.617247627
1,0,1,0,0,1,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.885212277,0.012535745,0.97061898,0.005766223,0.002024662,0.005382972,0.989778741,0.71263984,0.002762318,0.026344335,0.032276035,0.543645313,0.995751911,0.010276965
1,0,0,1,0,0,1,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.953135818,0.00154574,0.011299862,0.23189623,0.355521368,0.988627927,0.034808599,0.414440633,0.314950895,0.018718822,0.00114784,0.900942484,0.362255922,0.176527571
1,0,0,1,0,0,0,1,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.897796299,0.000463916,0.015337099,0.21286649,0.960596735,0.980467893,0.023335415,0.000882703,0.941931463,0.003425656,0.023516745,0.998567676,0.019787756,0.024940175
1,0,0,1,0,0,0,0,1,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.06554565,0.057007315,0.060488538,0.001395432,0.004900526,0.964458146,0.011025413,0.812142237,0.788403797,0.065135211,0.001972293,0.598060226,0.02564915,0.029842976
1,0,0,1,0,0,0,0,0,1,1,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.992092868,0.000501219,0.10999787,0.188313936,0.996524762,0.996024588,0.69167294,0.230655849,0.944067792,0.27944037,0.522120467,0.969493628,0.026335231,0.571614724
