geneID	gene_name	JMD1	JMD_TKD1	JMD2	JMD_TKD2	JMD3	JMD4	JMD5	JMD_TKD3	TKD1	TKD2	JMD6	JMD7	JMD8	JMD_TKD4
3139	HLA-L	-1.1051077941751077	-0.9944179587183529	-0.31395660795312474	-0.04732380431768604	-0.20129660162130308	0.48597032973798987	-0.6445948772778527	-1.1300109267212084	-0.5904015869868032	-0.49553909162607	-0.7145186758180314	-0.5035345167696248	0.39359021377916553	0.229960410271958
3265	HRAS	-0.7395010967932841	-0.10540622181630445	-0.6198588944539338	-0.6294312282325009	-0.8768896606864358	-0.4084927590391515	-0.7029887821644712	-1.2975881123771282	-0.7945432971122727	-0.8835467783773273	-0.8813385279539313	-0.7522485625107213	-0.5040842142857683	-1.2636552189790713
3417	IDH1	0.5908557115775206	0.44660791020316665	0.5404304564838897	0.36234659853026047	0.4043214532531971	0.2403487348180605	0.8994327496899682	-0.06074953757585532	0.05739390595627029	0.10013746927558152	0.5758920864304639	0.6764993480296527	0.22493114530691757	-0.5502156034977188
3418	IDH2	1.0184358262341495	1.301298032242096	1.3260948755705886	1.2772899683353094	0.6722336443138213	1.074327127783446	1.027751901910146	1.2562689446877673	1.0390251724499349	0.9353189107397152	0.9062127650629203	0.8829517833711122	1.34364131324208	1.1030306038809388
3551	IKBKB	0.6053739113210641	0.5371769743743118	0.7097207803231925	0.6917453310804561	0.6900871511774415	1.3242975659859035	0.5574967854039156	0.376118746068673	0.5843121476540941	0.8042730622782785	0.634131860885748	0.6568508535796685	0.9368061445754923	0.3131777978479083
10320	IKZF1	0.7518492392010562	0.6082856154358639	0.8370837932493744	0.8079712728276985	0.7443742118491555	0.4659322756332495	0.7145888335806676	0.8707217307694728	0.7697943991324315	0.7550715694181079	0.8078912377645623	0.6872024713194747	0.6122082758747316	0.6804357282049093
22806	IKZF3	-0.22525305061228454	-1.530441215062946	-1.3540685631463742	-1.1578846288003406	-0.27093545779719935	-2.1964292145186013	-1.2195434310643254	-0.25339781689905166	-0.4801113047143146	-0.6746778662996963	-0.44190365164908574	0.3214060969892176	-1.3179028138165116	-0.9184374817102828
3561	IL2RG	0.8903139759843697	1.040877669900447	0.8718366531558017	0.507643119094766	0.5839474514753814	-0.425057336648685	0.9782086357768238	0.7015725987372912	0.5182346671493986	0.5741471101270569	0.6824610938152498	0.5994197712369866	0.2191762066474751	-0.04132511507475953
3575	IL7R	0.02396604094632498	-1.2156321725831658	-0.964155690521847	-0.7319048683568642	0.20777995186269257	-1.979435129536745	-0.8659989831158881	0.27712225630891674	-0.49527057522192913	-0.762714834087961	0.07364961985221324	-0.8027464620393606	-1.1932237279991047	0.025456681934249936
3659	IRF1	0.9049780988334326	0.0755615069212836	0.9588121246540732	0.6723324533490965	0.5255044842527092	0.526630023541804	0.7025839316365138	0.6896798019630391	0.693935911505332	0.9509774634487634	0.7980484404400424	0.5448253909400412	0.6685774991174398	1.1915608086905651
3662	IRF4	-1.322236225446813	-1.1781979454444054	-1.925796667463378	-1.3011422120340017	-0.8735431814779739	-0.4721396213155593	-1.7882443884534789	-1.6375301600241234	-1.2870834994118778	-1.230835054589059	-1.469203404841325	-1.6784077226894958	-0.4508874077158237	-0.5701241566697762
